year,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534-over,ssp585
1924,106.116,106.116,106.116,106.116,106.116,106.116,106.116,106.116
1925,103.169,103.169,103.169,103.169,103.169,103.169,103.169,103.169
1926,110.006,110.006,110.006,110.006,110.006,110.005,110.006,110.006
1927,105.932,105.932,105.932,105.932,105.932,105.932,105.932,105.932
1928,114.556,114.556,114.556,114.556,114.556,114.556,114.556,114.556
1929,107.611,107.611,107.611,107.611,107.611,107.611,107.611,107.611
1930,113.844,113.844,113.844,113.844,113.844,113.844,113.844,113.844
1931,113.448,113.448,113.448,113.448,113.448,113.448,113.448,113.448
1932,114.52,114.52,114.52,114.52,114.52,114.52,114.52,114.52
1933,119.153,119.153,119.153,119.153,119.153,119.153,119.153,119.153
1934,114.493,114.493,114.493,114.493,114.493,114.493,114.493,114.493
1935,119.463,119.463,119.463,119.463,119.463,119.463,119.463,119.463
1936,119.202,119.202,119.202,119.202,119.202,119.202,119.202,119.202
1937,120.48,120.48,120.48,120.48,120.48,120.48,120.48,120.48
1938,124.233,124.233,124.233,124.233,124.233,124.233,124.233,124.233
1939,120.722,120.722,120.722,120.722,120.722,120.723,120.722,120.722
1940,129.924,129.924,129.924,129.924,129.924,129.924,129.924,129.924
1941,128.228,128.228,128.228,128.228,128.228,128.228,128.228,128.228
1942,130.524,130.524,130.524,130.524,130.524,130.524,130.524,130.524
1943,127.941,127.941,127.941,127.941,127.941,127.941,127.941,127.941
1944,136.635,136.635,136.635,136.635,136.635,136.634,136.635,136.635
1945,132.134,132.134,132.134,132.134,132.134,132.134,132.134,132.134
1946,138.796,138.796,138.796,138.796,138.796,138.795,138.796,138.796
1947,143.606,143.606,143.606,143.606,143.606,143.607,143.606,143.606
1948,141.632,141.632,141.632,141.632,141.632,141.632,141.632,141.632
1949,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52
1950,149.2,149.2,149.2,149.2,149.2,149.2,149.2,149.2
1951,155.36,155.36,155.36,155.36,155.36,155.36,155.36,155.36
1952,158.746,158.746,158.746,158.746,158.746,158.746,158.746,158.746
1953,166.835,166.835,166.835,166.835,166.835,166.835,166.835,166.835
1954,161.634,161.634,161.634,161.634,161.634,161.634,161.634,161.634
1955,176.009,176.009,176.009,176.009,176.009,176.009,176.009,176.009
1956,169.868,169.868,169.868,169.868,169.868,169.868,169.868,169.868
1957,184.744,184.744,184.744,184.744,184.744,184.745,184.744,184.744
1958,178.695,178.695,178.695,178.695,178.695,178.695,178.695,178.695
1959,192.539,192.539,192.539,192.539,192.539,192.539,192.539,192.539
1960,192.333,192.333,192.333,192.333,192.333,192.333,192.333,192.333
1961,197.841,197.841,197.841,197.841,197.841,197.841,197.841,197.841
1962,205.557,205.557,205.557,205.557,205.557,205.557,205.557,205.557
1963,211.516,211.516,211.516,211.516,211.516,211.517,211.516,211.516
1964,208.193,208.193,208.193,208.193,208.193,208.193,208.193,208.193
1965,223.512,223.512,223.512,223.512,223.512,223.512,223.512,223.512
1966,221.944,221.944,221.944,221.944,221.944,221.944,221.944,221.944
1967,232.909,232.909,232.909,232.909,232.909,232.909,232.909,232.909
1968,236.209,236.209,236.209,236.209,236.209,236.209,236.209,236.209
1969,245.558,245.558,245.558,245.558,245.558,245.558,245.558,245.558
1970,248.839,248.839,248.839,248.839,248.839,248.839,248.839,248.839
1971,250.96,250.96,250.96,250.96,250.96,250.96,250.96,250.96
1972,259.314,259.314,259.314,259.314,259.314,259.314,259.314,259.314
1973,264.275,264.275,264.275,264.275,264.275,264.276,264.275,264.275
1974,272.474,272.474,272.474,272.474,272.474,272.473,272.474,272.474
1975,275.056,275.056,275.056,275.056,275.056,275.056,275.056,275.056
1976,280.839,280.839,280.839,280.839,280.839,280.839,280.839,280.839
1977,284.995,284.995,284.995,284.995,284.995,284.996,284.995,284.995
1978,295.374,295.374,295.374,295.374,295.374,295.374,295.374,295.374
1979,290.42,290.42,290.42,290.42,290.42,290.42,290.42,290.42
1980,311.016,311.016,311.016,311.016,311.016,311.016,311.016,311.016
1981,316.455,316.455,316.455,316.455,316.455,316.455,316.455,316.455
1982,311.69,311.69,311.69,311.69,311.69,311.69,311.69,311.69
1983,327.894,327.894,327.894,327.894,327.894,327.894,327.894,327.894
1984,321.278,321.278,321.278,321.278,321.278,321.278,321.278,321.278
1985,309.092,309.092,309.092,309.092,309.092,309.093,309.092,309.092
1986,321.408,321.408,321.408,321.408,321.408,321.408,321.408,321.408
1987,317.813,317.813,317.813,317.813,317.813,317.813,317.813,317.813
1988,317.21,317.21,317.21,317.21,317.21,317.21,317.21,317.21
1989,330.393,330.393,330.393,330.393,330.393,330.393,330.393,330.393
1990,311.766,311.766,311.766,311.766,311.766,311.765,311.766,311.766
1991,307.782,307.782,307.782,307.782,307.782,307.782,307.782,307.782
1992,327.89,327.89,327.89,327.89,327.89,327.89,327.89,327.89
1993,322.956,322.956,322.956,322.956,322.956,322.955,322.956,322.956
1994,320.835,320.835,320.835,320.835,320.835,320.835,320.835,320.835
1995,326.182,326.182,326.182,326.182,326.182,326.182,326.182,326.182
1996,310.117,310.117,310.117,310.117,310.117,310.116,310.117,310.117
1997,316.582,316.582,316.582,316.582,316.582,316.582,316.582,316.582
1998,336.208,336.208,336.208,336.208,336.208,336.208,336.208,336.208
1999,331.182,331.182,331.182,331.182,331.182,331.182,331.182,331.182
2000,310.187,310.187,310.187,310.187,310.187,310.187,310.187,310.187
2001,312.896,312.896,312.896,312.896,312.896,312.896,312.896,312.896
2002,322.279,322.279,322.279,322.279,322.279,322.279,322.279,322.279
2003,328.124,328.124,328.124,328.124,328.124,328.124,328.124,328.124
2004,338.942,338.942,338.942,338.942,338.942,338.942,338.942,338.942
2005,346.396,346.396,346.396,346.396,346.396,346.396,346.396,346.396
2006,356.47,356.47,356.47,356.47,356.47,356.47,356.47,356.47
2007,355.023,355.023,355.023,355.023,355.023,355.023,355.023,355.023
2008,360.492,360.492,360.492,360.492,360.492,360.492,360.492,360.492
2009,364.2,364.2,364.2,364.2,364.2,364.2,364.2,364.2
2010,370.896,370.896,370.896,370.896,370.896,370.896,370.896,370.896
2011,372.658,372.658,372.658,372.658,372.658,372.658,372.658,372.658
2012,380.81,380.81,380.81,380.81,380.81,380.81,380.81,380.81
2013,381.594,381.594,381.594,381.594,381.594,381.594,381.594,381.594
2014,387.874,387.874,387.874,387.874,387.874,387.874,387.874,387.874
2015,388.073,388.073,388.073,388.073,388.073,388.073,388.073,388.073
2016,382.24,379.956,388.076,394.149,396.978,396.978,389.951,389.951
2017,376.407,371.84,388.08,400.225,405.883,405.883,391.829,391.829
2018,370.574,363.724,388.083,406.302,414.788,414.788,393.708,393.708
2019,364.741,355.607,388.087,412.378,423.693,423.693,395.586,395.586
2020,358.908,347.491,388.091,418.454,432.598,432.598,397.464,397.464
2021,347.32,341.327,389.226,423.742,428.745,437.103,403.165,403.165
2022,335.732,335.163,390.362,429.03,424.893,441.608,408.865,408.865
2023,324.144,328.999,391.497,434.317,421.041,446.113,414.565,414.565
2024,312.555,322.835,392.633,439.605,417.189,450.618,420.266,420.266
2025,300.967,316.672,393.768,444.893,413.337,455.124,425.966,425.966
2026,289.379,310.508,394.904,450.18,409.485,459.629,431.666,431.666
2027,277.791,304.344,396.04,455.468,405.633,464.134,437.367,437.367
2028,266.203,298.18,397.175,460.755,401.781,468.639,443.067,443.067
2029,254.615,292.016,398.311,466.043,397.928,473.144,448.767,448.767
